,Unnamed: 0.1,Unnamed: 0,appid,name,release_date,developers,publishers,categories,genres,estimated_owners,average_playtime_forever,average_playtime_2weeks,median_playtime_forever,median_playtime_2weeks,peak_ccu,tags,pct_pos_total,num_reviews_total,'360 Video'],'Accounting','Accounting'],'Action','Action'],'Adventure','Adventure'],'Animation & Modeling','Animation & Modeling'],'Audio Production','Audio Production'],'Casual','Casual'],'Design & Illustration','Design & Illustration'],'Documentary','Early Access','Early Access'],'Education','Education'],'Episodic','Free To Play','Free To Play'],'Game Development','Game Development'],'Gore','Gore'],'Indie','Indie'],'Massively Multiplayer','Massively Multiplayer'],'Movie','Movie'],'Nudity','Photo Editing','Photo Editing'],'RPG','RPG'],'Racing','Racing'],'Short','Simulation','Simulation'],'Software Training','Software Training'],'Sports','Sports'],'Strategy','Strategy'],'Tutorial','Utilities','Utilities'],'Video Production','Video Production'],'Violent','Web Publishing','Web Publishing'],['Accounting',['Accounting'],['Action',['Action'],['Adventure',['Adventure'],['Animation & Modeling',['Animation & Modeling'],['Audio Production',['Audio Production'],['Casual',['Casual'],['Design & Illustration',['Design & Illustration'],['Early Access',['Early Access'],['Education',['Education'],['Free To Play',['Free To Play'],['Game Development',['Game Development'],['Gore',['Indie',['Indie'],['Massively Multiplayer',['Massively Multiplayer'],['Nudity',['Photo Editing',['Photo Editing'],['RPG',['RPG'],['Racing',['Racing'],['Sexual Content',['Simulation',['Simulation'],['Software Training',['Software Training'],['Sports',['Sports'],['Strategy',['Strategy'],['Utilities',['Utilities'],['Video Production',['Video Production'],['Violent',['Violent'],['Web Publishing'],[],360 Video,Accounting,Action,Adventure,Animation & Modeling,Audio Production,Casual,Design & Illustration,Documentary,Early Access,Education,Episodic,Free To Play,Game Development,Gore,Indie,Massively Multiplayer,Movie,Nudity,Photo Editing,RPG,Racing,Sexual Content,Short,Simulation,Software Training,Sports,Strategy,Tutorial,Utilities,Video Production,Violent,Web Publishing,title_clean,playtime_hours,fuzzy_match,title_clean_fuzzy,playtime_hours_fuzzy,time_to_beat,bayesian_score,completion_rate_avg,completion_rate_median,playtime_deviation,engagement_ratio,is_frequently_completed
1659,1659,4263,40720,Samorost 2,2009-12-10,['Amanita Design'],['Amanita Design'],"['Single-player', 'Steam Achievements', 'Family Sharing']","['Adventure', 'Casual', 'Indie']",100000 - 200000,46,0,62,0,3,"{'Point & Click': 211, 'Casual': 204, '2D': 199, 'Exploration': 198, 'Family Friendly': 192, 'Surreal': 180, 'Space': 176, 'Stylized': 172, 'Funny': 171, 'Puzzle': 164, 'Psychedelic': 163, 'Story Rich': 159, 'Dog': 156, 'Atmospheric': 155, 'Aliens': 152, 'Hand-drawn': 147, 'Short': 143, 'Fantasy': 138, 'Adventure': 130, 'Singleplayer': 130}",87,1893,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,samorost 2,1.05,,,,1.05,86.82833551560574,0.7301587301587302,0.9841269841269842,-16,0.7301587301587302,1
1661,1661,4266,215510,Rocketbirds: Hardboiled Chicken,2012-10-15,['Ratloop Asia'],['Reverb Publishing'],"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play Together', 'Family Sharing']","['Adventure', 'Indie']",500000 - 1000000,88,0,83,0,0,"{'Indie': 147, 'Platformer': 138, 'Action': 132, 'Adventure': 127, 'Local Co-Op': 124, '2D': 117, 'Co-op': 114, 'Shooter': 111, 'Funny': 111, 'Puzzle': 109, 'Online Co-Op': 106, 'Singleplayer': 105, 'Multiplayer': 102, 'Controller': 101, 'Side Scroller': 99, 'Comedy': 96, 'Story Rich': 94, 'Local Multiplayer': 94, 'Gore': 91, 'Action-Adventure': 89}",81,1890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rocketbirds: hardboiled chicken,3.46,,,,3.46,80.9827092303206,0.4238921001926782,0.39980732177263967,5,0.4238921001926782,0
1663,1663,4271,439190,Stories: The Path of Destinies,2016-04-12,['Spearhead Games'],['Spearhead Games'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on TV', 'Family Sharing']","['Action', 'Adventure', 'Indie', 'RPG']",2000000 - 5000000,346,0,313,0,4,"{'Adventure': 1583, 'RPG': 139, 'Action': 123, 'Indie': 113, 'Choices Matter': 113, 'Fantasy': 87, 'Dynamic Narration': 79, 'Hack and Slash': 66, 'Action RPG': 63, 'Singleplayer': 61, 'Multiple Endings': 61, 'Colorful': 58, 'Swordplay': 52, 'Great Soundtrack': 50, 'Story Rich': 38, 'Isometric': 26, 'Funny': 18, 'Narration': 16, 'Comedy': 12, 'Action-Adventure': 11}",87,1888,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,stories: the path of destinies,5.25,,,,5.25,86.82789262477914,1.0,0.9936507936507937,33,1.0984126984126985,1
1664,1664,4273,331480,Pinstripe,2017-04-24,"['Atmos Games, LLC']",['Armor Games Studios'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Cloud', 'Remote Play on TV', 'Family Sharing']","['Adventure', 'Casual', 'Indie']",200000 - 500000,111,0,111,0,0,"{'Indie': 84, 'Adventure': 76, 'Casual': 61, 'Atmospheric': 55, 'Dark': 55, 'Puzzle-Platformer': 44, 'Puzzle': 42, 'Story Rich': 41, 'Platformer': 40, 'Singleplayer': 38, 'Side Scroller': 34, 'Great Soundtrack': 32, '2D': 25, 'Action': 17, 'Horror': 14, 'Funny': 12, 'Kickstarter': 12, 'Cute': 6}",89,1887,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pinstripe,2.93,,,,2.93,88.77617754611356,0.6313993174061433,0.6313993174061433,0,0.6313993174061433,0
1665,1665,4276,204180,Waveform,2012-03-20,['Eden Industries'],['Eden Industries'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Stats', 'Steam Leaderboards', 'Family Sharing']","['Adventure', 'Indie', 'Strategy']",200000 - 500000,108,0,121,0,2,"{'Indie': 102, 'Puzzle': 44, 'Great Soundtrack': 35, 'Singleplayer': 32, 'Casual': 32, 'Strategy': 31, 'Arcade': 28, 'Space': 28, 'Difficult': 22, 'Action': 20, '2D': 19, 'Adventure': 18, 'Sci-fi': 13, ""Shoot 'Em Up"": 13, 'Atmospheric': 11, 'Rhythm': 5, 'Fantasy': 5}",83,1884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,waveform,6.35,,,,6.35,82.93094927963907,0.28346456692913385,0.31758530183727035,-13,0.28346456692913385,0
1667,1667,4281,1933650,The Imperial Gatekeeper,2022-09-02,['Tengsten'],['Kagura Games'],"['Single-player', 'Steam Cloud', 'Family Sharing']","['Adventure', 'Indie', 'RPG']",50000 - 100000,165,0,221,0,40,"{'Sexual Content': 271, 'Nudity': 190, 'Hentai': 165, 'Mature': 138, 'NSFW': 108, 'RPG': 91, 'Adventure': 79, 'Anime': 69, 'Singleplayer': 63, 'Indie': 35, 'LGBTQ+': 25, 'Visual Novel': 17, 'RPGMaker': 16, 'Female Protagonist': 15, '2D': 14, 'FPS': 11, 'Pixel Graphics': 6}",80,1880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,the imperial gatekeeper,5.1,,,,5.1,80.0085263765917,0.5392156862745099,0.7222222222222222,-56,0.5392156862745099,1
1672,1672,4296,463270,Ghost 1.0,2016-06-06,['@unepic_fran'],['Unepic Games'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on TV', 'Family Sharing']","['Action', 'Adventure', 'Indie']",100000 - 200000,812,0,928,0,4,"{'Indie': 93, 'Metroidvania': 93, 'Action': 84, 'Roguevania': 74, 'Female Protagonist': 69, 'Adventure': 68, 'Cyberpunk': 60, 'Platformer': 52, '2D': 49, 'Sci-fi': 48, 'Singleplayer': 38, 'Side Scroller': 27, 'Robots': 26, 'Anime': 16, 'Comedy': 12, 'Rogue-like': 11, 'Difficult': 10}",91,1874,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ghost 1.0,12.82,,,,12.82,90.7226901802609,1.0,1.0,-116,1.0556422256890274,1
1676,1676,4303,1436700,Trine 5: A Clockwork Conspiracy,2023-08-31,['Frozenbyte'],['THQ Nordic'],"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play Together', 'Family Sharing']","['Action', 'Adventure', 'Indie', 'RPG']",100000 - 200000,662,0,852,0,190,"{'Action': 287, 'Adventure': 283, 'RPG': 271, 'Platformer': 252, 'Action-Adventure': 247, 'Puzzle-Platformer': 243, '2D Platformer': 236, '2D': 214, '3D': 206, 'Colorful': 194, 'Family Friendly': 186, 'Fantasy': 183, 'Co-op': 162, 'Combat': 159, 'Female Protagonist': 156, 'Physics': 146, 'Local Co-Op': 137, 'Local Multiplayer': 107, 'Multiplayer': 84, 'Online Co-Op': 78}",92,1869,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,trine 5: a clockwork conspiracy,16.36,,,,16.36,91.69591240584782,0.6744091279543603,0.8679706601466992,-190,0.6744091279543603,1
1678,1678,4309,1859280,7 Days to End with You,2022-02-06,['Lizardry'],['PLAYISM'],"['Single-player', 'Full controller support', 'Family Sharing']","['Adventure', 'Casual', 'Indie', 'Simulation']",100000 - 200000,448,0,448,0,203,"{'Choose Your Own Adventure': 475, 'Typing': 469, 'Puzzle': 467, 'Visual Novel': 462, 'Word Game': 460, 'Romance': 452, 'Investigation': 450, 'Interactive Fiction': 448, 'Text-Based': 444, 'Multiple Endings': 440, 'Choices Matter': 440, 'Conversation': 436, 'Casual': 434, 'Simulation': 426, 'Pixel Graphics': 423, 'Fantasy': 420, 'Dystopian ': 418, 'Mystery': 414, 'Atmospheric': 406, 'Psychological': 397}",90,1867,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7 days to end with you,3.35,,,,3.35,89.7477599931257,1.0,1.0,0,2.228855721393035,1
1679,1679,4310,270630,Haunt the House: Terrortown,2014-06-06,['SFB Games'],['SFB Games'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Family Sharing']","['Action', 'Casual', 'Indie']",200000 - 500000,112,0,166,0,5,"{'Indie': 145, 'Cute': 142, 'Casual': 139, 'Supernatural': 136, 'Action': 121, 'Funny': 119, 'Comedy': 114, 'Puzzle': 108, 'Beautiful': 104, '2D': 98, 'Family Friendly': 95, 'Psychological Horror': 87, 'Great Soundtrack': 87, 'Singleplayer': 81, 'Sandbox': 74, 'Atmospheric': 70, 'Side Scroller': 65, 'Cartoon': 58, 'Colorful': 57, 'Physics': 46}",87,1867,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,haunt the house: terrortown,1.65,,,,1.65,86.82600725447155,1.0,1.0,-54,1.1313131313131315,1
1680,1680,4313,538070,Bad Dream: Coma,2017-03-09,['Desert Fox'],['Desert Fox'],"['Single-player', 'Steam Achievements', 'Family Sharing']","['Adventure', 'Casual', 'Indie']",100000 - 200000,1,0,1,0,2,"{'Point & Click': 145, 'Adventure': 140, 'Horror': 137, 'Choices Matter': 130, 'Multiple Endings': 128, 'Indie': 120, 'Gore': 118, 'Hand-drawn': 115, 'Psychological Horror': 113, 'Atmospheric': 107, 'Dark': 104, 'Surreal': 101, 'Psychological': 101, 'Story Rich': 100, 'Minimalist': 96, 'Puzzle': 91, 'Hidden Object': 90, 'Exploration': 82, 'Singleplayer': 73, 'Casual': 62}",91,1863,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bad dream: coma,3.78,,,,3.78,90.72109561255722,0.004409171075837742,0.004409171075837742,0,0.004409171075837742,0
1682,1682,4321,314710,Mighty No. 9,2016-06-21,"['Comcept', 'Inti Creates']",['Deep Silver'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Remote Play on TV', 'Family Sharing']",['Action'],200000 - 500000,282,0,539,0,1,"{'Platformer': 124, 'Action': 123, 'Anime': 92, 'Kickstarter': 91, 'Side Scroller': 91, '2.5D': 81, 'Retro': 49, 'Robots': 41, 'Singleplayer': 30, 'Multiplayer': 28, 'Indie': 27, 'Co-op': 23, 'Difficult': 22, 'Casual': 21, 'Sci-fi': 18, 'Comedy': 13, '2D': 12, 'Great Soundtrack': 11, 'Futuristic': 6, 'Crowdfunded': 6}",57,1857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mighty no. 9,5.08,,,,5.08,57.61167063808178,0.9251968503937008,1.0,-257,0.9251968503937008,1
1687,1687,4340,430210,Megaton Rainfall,2017-11-17,"['Pentadimensional Games, SL']","['Pentadimensional Games, SL']","['Single-player', 'Full controller support', 'Tracked Controller Support', 'VR Supported', 'Remote Play on TV', 'Family Sharing']","['Action', 'Indie']",200000 - 500000,1,0,1,0,11,"{'Superhero': 65, 'Destruction': 64, 'Open World': 60, 'God Game': 53, 'Action': 47, 'VR': 46, 'Indie': 39, 'Sandbox': 38, 'Space': 37, 'First-Person': 31, 'Aliens': 25, 'Singleplayer': 22, 'Flight': 13, 'Violent': 10, 'Sci-fi': 9, 'Simulation': 8, 'FPS': 7}",71,1846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,megaton rainfall,2.0,,,,2.0,71.24602104790188,0.008333333333333333,0.008333333333333333,0,0.008333333333333333,0
1688,1688,4343,546430,Pathway,2019-04-11,['Robotality'],['Chucklefish'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Family Sharing']","['Adventure', 'Indie', 'RPG', 'Strategy']",200000 - 500000,657,0,227,0,7,"{'Turn-Based Tactics': 245, 'Pixel Graphics': 240, 'Strategy RPG': 238, 'Exploration': 232, 'Choose Your Own Adventure': 222, 'Tactical RPG': 216, 'Rogue-lite': 213, 'RPG': 213, 'Alternate History': 211, 'Turn-Based': 206, 'Strategy': 205, 'Turn-Based Strategy': 198, 'Rogue-like': 190, '2D': 183, 'Turn-Based Combat': 181, 'Top-Down': 179, 'Procedural Generation': 172, 'Tactical': 166, 'Adventure': 163, 'Zombies': 151}",76,1844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,pathway,10.67,,,,10.67,76.11428506168002,1.0,0.35457669478288034,430,1.0262417994376756,0
1689,1689,4345,217140,Rise of the Triad,2013-07-31,['Interceptor Entertainment'],['Apogee Entertainment'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards', 'Includes level editor', 'Includes Source SDK', 'Family Sharing']",['Action'],200000 - 500000,240,0,384,0,5,"{'FPS': 257, 'Action': 190, 'Old School': 157, 'Fast-Paced': 153, 'Gore': 150, 'Remake': 127, 'First-Person': 124, 'Shooter': 123, 'Multiplayer': 120, 'Funny': 119, 'Singleplayer': 118, 'Arena Shooter': 114, 'Boomer Shooter': 114, 'Reboot': 111, 'Female Protagonist': 106, 'Comedy': 105, 'Violent': 100, 'Sci-fi': 93, 'PvP': 90, 'Nostalgia': 85}",67,1843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rise of the triad,7.26,,,,7.26,67.35206334221974,0.5509641873278237,0.8815426997245179,-144,0.5509641873278237,1
1695,1695,4367,468530,A Date in the Park,2016-07-19,['Cloak and Dagger Games'],['Cloak and Dagger Games'],"['Single-player', 'Steam Achievements']",['Adventure'],100000 - 200000,34,0,34,0,0,"{'Exploration': 238, 'Point & Click': 233, 'Horror': 229, 'Interactive Fiction': 227, 'Walking Simulator': 220, '2D': 212, 'Psychological Horror': 211, 'Story Rich': 206, 'Romance': 201, 'Puzzle': 196, 'Thriller': 194, 'Atmospheric': 190, 'Emotional': 184, 'Mystery': 181, 'Psychological': 163, 'Drama': 158, 'Adventure': 154, 'Free to Play': 150, ""1990's"": 147, 'Singleplayer': 130}",87,1831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a date in the park,0.71,,,,0.71,86.82267724977245,0.7981220657276995,0.7981220657276995,0,0.7981220657276995,1
1696,1696,4368,654990,Dude Simulator,2017-07-13,['Kiddy'],['Kiddy'],"['Single-player', 'Steam Trading Cards', 'Family Sharing']","['Action', 'Adventure', 'Indie', 'Simulation']",500000 - 1000000,145,0,241,0,0,"{'Simulation': 70, 'Adventure': 47, 'Open World': 43, 'Funny': 41, 'Indie': 40, 'Sandbox': 39, 'Action': 38, 'Multiplayer': 32, 'Shooter': 31, 'Singleplayer': 26, 'First-Person': 26, 'Gore': 20, 'Physics': 18, 'Comedy': 17, 'Exploration': 16, 'Atmospheric': 16, 'Fighting': 15, 'Violent': 15, 'Arcade': 14, 'Replay Value': 14}",60,1830,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,dude simulator,0.0333333333333333,,,,0.0333333333333333,60.5406680355436,1.0,1.0,-96,72.50000000000007,1
1699,1699,4379,249870,Scribblenauts Unmasked: A DC Comics Adventure,2013-09-24,['5th Cell Media'],['Warner Bros. Interactive Entertainment'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Family Sharing']","['Action', 'Adventure', 'Casual', 'Strategy']",200000 - 500000,497,0,146,0,6,"{'Adventure': 117, 'Superhero': 107, 'Action': 88, 'Casual': 85, 'Sandbox': 75, 'Comic Book': 69, 'Strategy': 65, 'Singleplayer': 64, 'Puzzle': 61, 'Family Friendly': 59, 'Funny': 57, '2D': 52, 'Open World': 45, 'Fantasy': 36, 'Multiplayer': 28, 'Comedy': 13, 'Co-op': 13, 'Platformer': 8, 'Education': 6, 'Character Customization': 5}",81,1823,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,scribblenauts unmasked: a dc comics adventure,6.5,,,,6.5,80.98209071373303,1.0,0.3743589743589743,351,1.2743589743589743,0
