,appid,name,release_date,developers,publishers,categories,genres,time_to_beat,Publishers Class,Wishlists,Followers,engagement_ratio,bayesian_score,Copies Sold,Price,Tags
43,646570,Slay the Spire,2019-01-23,['Mega Crit'],['Mega Crit'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Stats', 'Steam Leaderboards', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']","['Indie', 'Strategy']",9.5,AA,778800.0,223593.0,11.601754385964913,96.99470211856878,8369786.0,24.99,"[""Roguelike Deckbuilder"",""Card Game"",""Card Battler"",""Roguelike"",""Deckbuilding"",""Turn-Based"",""Strategy"",""Singleplayer"",""Roguelite"",""Replay Value"",""Indie"",""Difficult"",""Dungeon Crawler"",""RPG"",""Mouse only"",""2D"",""Great Soundtrack"",""Procedural Generation"",""Fantasy"",""Casual""]"
44,588650,Dead Cells,2018-08-06,['Motion Twin'],['Motion Twin'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']","['Action', 'Adventure', 'Indie']",14.07,AA,2152700.0,385510.0,2.9850746268656714,96.99425213307039,6566162.0,24.99,"[""Adventure"",""Action Roguelike"",""Metroidvania"",""Pixel Graphics"",""Roguelike"",""2D"",""Souls-like"",""Roguelite"",""Difficult"",""Replay Value"",""Hack and Slash"",""Platformer"",""Singleplayer"",""Roguevania"",""Action"",""Dark Fantasy"",""Atmospheric"",""Procedural Generation"",""Funny"",""Indie""]"
45,270880,American Truck Simulator,2016-02-02,['SCS Software'],['SCS Software'],"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Partial Controller Support', 'Steam Cloud', 'Includes level editor', 'Remote Play Together', 'Family Sharing']","['Indie', 'Simulation']",22.15,AA,546700.0,453050.0,2.431710288678382,96.99424023187804,6974408.0,19.99,"[""Automobile Sim"",""Driving"",""Open World"",""Transportation"",""Simulation"",""America"",""Realistic"",""Moddable"",""Relaxing"",""Exploration"",""Economy"",""Management"",""Atmospheric"",""Immersive Sim"",""Multiplayer"",""Singleplayer"",""Adventure"",""Casual"",""Family Friendly"",""Level Editor""]"
46,813780,Age of Empires II: Definitive Edition,2019-11-14,"['Forgotten Empires', 'Tantalus Media', 'Wicked Witch', ""World's Edge"", 'CaptureAge']",['Xbox Game Studios'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'LAN PvP', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Includes level editor', 'Family Sharing']",['Strategy'],40.78,AAA,754600.0,258804.0,1.4465755532167965,93.99524403721749,7713331.0,34.99,"[""Strategy"",""RTS"",""City Builder"",""Multiplayer"",""Base Building"",""Historical"",""Singleplayer"",""Medieval"",""Resource Management"",""Classic"",""Tactical"",""Real-Time"",""Co-op"",""Remake"",""Isometric"",""2D"",""Replay Value"",""Action"",""Adventure"",""Great Soundtrack""]"
47,379720,DOOM,2016-05-12,['id Software'],['Bethesda Softworks'],"['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Family Sharing']",['Action'],11.69,AAA,1013100.0,334489.0,1.4342743085258056,94.99481078741148,8890604.0,19.99,"[""FPS"",""Gore"",""Action"",""Shooter"",""Great Soundtrack"",""Demons"",""First-Person"",""Multiplayer"",""Fast-Paced"",""Singleplayer"",""Sci-fi"",""Horror"",""Atmospheric"",""Classic"",""Blood"",""Difficult"",""Remake"",""Zombies"",""Violent"",""Co-op""]"
48,1332010,Stray,2022-07-19,['BlueTwelve Studio'],['Annapurna Interactive'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on TV', 'Family Sharing']","['Adventure', 'Indie']",5.08,AA,3605800.0,360257.0,1.332020997375328,96.99407921905805,3787075.0,29.99,"[""Cats"",""Adventure"",""Atmospheric"",""Cyberpunk"",""Singleplayer"",""Cute"",""Exploration"",""Robots"",""Beautiful"",""Puzzle"",""Third Person"",""Horror"",""Sci-fi"",""Indie"",""Dystopian"",""Open World"",""Mystery"",""Action"",""Colorful"",""Stealth""]"
49,1222140,Detroit: Become Human,2020-06-18,['Quantic Dream'],['Quantic Dream'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Remote Play on TV', 'Family Sharing']","['Action', 'Adventure']",11.5,AA,2305600.0,206750.0,1.0953314306521165,94.9947660755906,5547746.0,39.99,"[""Choices Matter"",""Story Rich"",""Multiple Endings"",""Cinematic"",""Singleplayer"",""Emotional"",""Futuristic"",""Sci-fi"",""Robots"",""Adventure"",""Beautiful"",""Atmospheric"",""Great Soundtrack"",""Third Person"",""Replay Value"",""Dynamic Narration"",""Cyberpunk"",""Narration"",""Violent"",""Female Protagonist""]"
50,48700,Mount & Blade: Warband,2010-03-31,['TaleWorlds Entertainment'],['TaleWorlds Entertainment'],"['Single-player', 'Multi-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Family Sharing']","['Action', 'RPG']",74.4,AA,425700.0,187985.0,1.4923835125448028,96.99377646581713,7306080.0,19.99,"[""Medieval"",""RPG"",""Open World"",""Strategy"",""Sandbox"",""Multiplayer"",""Action"",""Moddable"",""Military"",""Adventure"",""Horses"",""Singleplayer"",""Realistic"",""First-Person"",""Historical"",""Third Person"",""Simulation"",""Hack and Slash"",""Fantasy"",""Indie""]"
51,281990,Stellaris,2016-05-09,['Paradox Development Studio'],['Paradox Interactive'],"['Single-player', 'Multi-player', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Family Sharing']","['Simulation', 'Strategy']",31.1,AAA,1043900.0,521153.0,4.732047159699892,87.99711193249169,8007291.0,39.99,"[""Space"",""Grand Strategy"",""Strategy"",""Sci-fi"",""4X"",""Exploration"",""Sandbox"",""Simulation"",""Multiplayer"",""Singleplayer"",""Real-Time with Pause"",""Moddable"",""Management"",""Diplomacy"",""Military"",""Futuristic"",""Replay Value"",""Great Soundtrack"",""Procedural Generation"",""Atmospheric""]"
52,433340,Slime Rancher,2017-08-01,['Monomi Park'],['Monomi Park'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']","['Action', 'Adventure', 'Indie', 'Simulation']",14.5,AA,656700.0,251809.0,1.006896551724138,96.9932550506923,5834648.0,19.99,"[""Cute"",""Exploration"",""Adventure"",""Singleplayer"",""Open World"",""First-Person"",""Colorful"",""Funny"",""Sandbox"",""Simulation"",""Casual"",""Management"",""Fantasy"",""Family Friendly"",""Indie"",""Great Soundtrack"",""Female Protagonist"",""Action"",""Early Access"",""FPS""]"
