iter	Passed	Remaining
165	726	3649
166	730	3643
167	734	3637
168	738	3632
169	742	3626
170	746	3620
171	750	3614
172	755	3611
173	759	3607
174	764	3601
175	768	3597
176	772	3593
177	777	3588
178	781	3583
179	785	3578
180	790	3575
181	794	3571
182	799	3567
183	803	3562
184	807	3557
185	812	3553
186	816	3549
187	820	3543
188	824	3537
189	828	3533
190	832	3527
191	836	3522
192	841	3517
193	845	3513
194	850	3509
195	854	3506
196	859	3501
197	863	3497
198	867	3492
199	872	3488
200	876	3482
201	880	3476
202	884	3471
203	888	3467
204	892	3462
205	897	3460
206	902	3456
207	906	3451
208	910	3446
209	915	3443
210	919	3438
211	923	3434
212	927	3428
213	932	3424
214	936	3420
215	941	3417
216	945	3412
217	949	3407
218	954	3402
219	958	3397
220	962	3392
221	966	3388
222	971	3383
223	975	3380
224	980	3375
225	984	3372
226	989	3368
227	993	3363
228	997	3359
229	1002	3357
230	1006	3351
231	1011	3347
232	1015	3342
233	1019	3337
234	1023	3333
235	1028	3328
236	1032	3324
237	1037	3320
238	1041	3316
239	1046	3313
240	1050	3307
241	1054	3302
242	1058	3297
243	1062	3292
244	1067	3288
245	1071	3283
246	1075	3279
247	1080	3276
248	1085	3272
249	1089	3268
250	1093	3264
251	1098	3260
252	1102	3254
253	1106	3249
254	1110	3244
255	1114	3240
256	1118	3234
257	1122	3229
258	1127	3224
259	1131	3219
260	1134	3213
261	1139	3209
262	1143	3204
263	1147	3199
264	1151	3194
265	1155	3188
266	1159	3183
267	1163	3179
268	1167	3173
269	1171	3168
270	1176	3163
271	1180	3158
272	1184	3154
273	1188	3149
274	1193	3145
275	1197	3140
276	1201	3135
277	1205	3129
278	1209	3124
279	1213	3119
280	1217	3114
281	1221	3109
282	1225	3104
283	1229	3099
284	1233	3094
285	1237	3088
286	1240	3082
287	1244	3077
288	1249	3072
289	1252	3067
290	1257	3062
291	1261	3057
292	1265	3052
293	1269	3047
294	1273	3042
295	1277	3037
296	1281	3033
297	1285	3028
298	1289	3022
299	1293	3018
300	1297	3013
301	1301	3008
302	1305	3002
303	1309	2997
304	1313	2992
305	1317	2987
306	1321	2982
307	1324	2976
308	1328	2971
309	1333	2967
310	1336	2961
311	1341	2957
312	1344	2951
313	1348	2946
314	1352	2941
315	1356	2936
316	1360	2931
317	1364	2925
318	1368	2920
319	1372	2915
320	1375	2909
321	1379	2904
322	1383	2899
323	1387	2893
324	1391	2889
325	1395	2885
326	1400	2881
327	1405	2878
328	1410	2876
329	1414	2872
330	1419	2868
331	1423	2864
332	1427	2859
333	1431	2854
334	1435	2850
335	1439	2844
336	1443	2840
337	1447	2834
338	1452	2831
339	1457	2828
340	1461	2825
341	1467	2822
342	1472	2820
343	1477	2818
344	1483	2815
345	1488	2814
346	1494	2812
347	1499	2808
348	1503	2804
349	1508	2800
350	1515	2801
351	1520	2799
352	1524	2794
353	1528	2789
354	1532	2785
355	1537	2780
356	1541	2775
357	1545	2770
358	1548	2765
359	1552	2760
360	1557	2756
361	1561	2751
362	1565	2747
363	1569	2742
364	1574	2738
365	1578	2734
366	1582	2730
367	1586	2725
368	1591	2720
369	1596	2717
370	1601	2714
371	1606	2711
372	1610	2707
373	1615	2704
374	1619	2699
375	1624	2695
376	1629	2692
377	1633	2687
378	1638	2684
379	1642	2679
380	1646	2675
381	1651	2671
382	1655	2666
383	1659	2661
384	1663	2657
385	1668	2653
386	1672	2649
387	1677	2645
388	1682	2642
389	1686	2638
390	1691	2634
391	1695	2629
392	1700	2625
393	1707	2627
394	1712	2623
395	1717	2619
396	1721	2615
397	1726	2610
398	1730	2606
399	1735	2602
400	1739	2598
401	1743	2594
402	1748	2590
403	1753	2586
404	1758	2582
405	1762	2578
406	1767	2574
407	1771	2571
408	1776	2567
409	1781	2563
410	1786	2559
411	1790	2555
412	1794	2551
413	1798	2546
414	1803	2541
415	1807	2537
416	1812	2533
417	1816	2529
418	1820	2524
419	1824	2520
420	1829	2515
421	1833	2511
422	1837	2506
423	1842	2503
424	1847	2499
425	1851	2494
426	1855	2490
